GID_2,fips,RUCC_2013,rucc_grouped,pop_size,perc_african_american,perc_latino_hispanic,perc_unemployed,perc_graduated,perc_urban_pop,entropy_coloc,entropy_sci,extroversion_coloc,extroversion_sci,proximity_rep_coloc,proximity_dem_coloc,proximity_rep_sci,proximity_dem_sci,proximity_rep_comm,proximity_dem_comm,proximity_rep_res,proximity_dem_res,perc_nv_rep,perc_nv_dem,n_swing,n_swing_0820,segregation_off,segregation_on,segregation_res
USA.1.1_1,01001,2,1,58239.0,0.19694706296468,0.030477858479713,0.027295825771325,0.22199036,0.5932,0.2134367560569134,0.5035671301228288,0.5146,2.2835,0.6446,0.3214,0.5776,0.3351,0.5949,0.3876,0.599,0.261,0.7223,0.2578,0,0,0.6438520957325566,0.585781517398745,0.6647285738245653
USA.1.2_1,01003,3,1,227131.0,0.087592622759553,0.046818796201311,0.036684944843993,0.26071036,0.6241,0.2680547909075194,0.6884586680399891,0.4583,3.3864,0.6968,0.2482,0.6292,0.2906,0.7082,0.2709999999999999,0.6492,0.2098,0.7665,0.2112,0,0,0.7232493351905787,0.6543069024529378,0.7214177894560295
USA.1.3_1,01005,6,3,25259.0,0.474484342214656,0.046557662615305,0.086241861458,0.13349621,0.3408,0.190863738657132,0.354405535623276,0.5755,1.6431,0.5111,0.4705,0.5009,0.4579999999999999,0.5011,0.4901,0.3775,0.605,0.5125,0.4788,1,2,0.4649233886285931,0.44345407872219056,0.3485771789567843
USA.1.4_1,01007,1,1,22412.0,0.223228627520971,0.028288416919507,0.09706818930493,0.099240527,0.0,0.1922784243077518,0.2698608062512674,0.3581,0.5142,0.6852999999999999,0.2808,0.6575,0.2816,0.6757,0.3101,0.6475,0.2461,0.7589,0.227,0,0,0.6953273394960111,0.6809041642897888,0.7001733102253033
USA.1.5_1,01009,1,1,58884.0,0.012906731879628,0.095306025405883,0.060130010834236,0.1263345,0.0951,0.2830730027367094,0.4378263260471555,0.6756,1.1537,0.7901,0.1683,0.7524,0.1613,0.8242999999999999,0.1588,0.8185,0.085,0.8839,0.1011,0,0,0.8329112321134609,0.8343553907586994,0.8858388773969923
USA.1.6_1,01011,6,3,10386.0,0.689774696707106,0.085499711149624,0.029979674796748,0.10972187,0.0,0.0929883839840176,0.198032952010435,0.1249,0.3552,0.2627,0.7224999999999999,0.2917,0.6789999999999999,0.2791,0.7145,0.1566,0.8192,0.2418,0.7532,0,0,0.14809421299227554,0.1366942384483742,0.10532789176496893
USA.1.7_1,01013,6,3,19181.0,0.447943277201397,0.016057556957406,0.065432098765432,0.10806212,0.3057,0.1458068119971341,0.2593965925226452,0.2483,0.6498,0.5398000000000001,0.4352,0.515,0.4443999999999999,0.5402,0.452,0.4669,0.4611,0.5573,0.435,0,0,0.5054451057363556,0.46320593268682264,0.479007100128585
USA.1.8_1,01015,3,1,116425.0,0.214876529954907,0.039939875456302,0.069655860161439,0.1634185,0.6351,0.253098618270117,0.4949109374483594,0.7064,1.9175,0.6853,0.2748,0.6459,0.2677,0.7166,0.2654,0.6686,0.24,0.676,0.3032,0,0,0.6991262504748639,0.6825442099258414,0.71537988483256
USA.1.9_1,01017,6,3,34834.0,0.401245909169202,0.027157374978469,0.031535477412089,0.10888611,0.4926,0.1651842792433786,0.3319547446332304,0.3112,0.8408,0.5509999999999999,0.4209,0.5513,0.3896,0.585,0.3996,0.4597,0.5156,0.5527,0.4341,0,0,0.5215904773964796,0.5281660011409013,0.44451277464080063
USA.1.10_1,01019,6,3,24975.0,0.046726726726727,0.017697697697698,0.046998151211443,0.10722729,0.0,0.2318171684404026,0.2977778263493328,0.533,0.5902,0.773,0.1878999999999999,0.7545000000000001,0.1802,0.7980999999999999,0.1849,0.8026,0.143,0.8203,0.1646,0,0,0.8096745599594783,0.8223759269823161,0.8445239559456589
USA.1.11_1,01021,1,1,44857.0,0.088258242860646,0.079519361526629,0.063971638711043,0.12215477,0.1446,0.2387508985009741,0.3507412597663753,0.4685,0.7015,0.7354999999999999,0.2241,0.7089,0.2207,0.7408,0.2453,0.7744,0.154,0.8169,0.1706,0,0,0.7630112701025705,0.7609811751283514,0.822608598423436
USA.1.12_1,01023,9,4,12792.0,0.41307066916823,0.01078799249531,0.060531192093885,0.10668433,0.0,0.2185323839954047,0.2603715413183864,0.4891,0.6085,0.5392,0.4362999999999999,0.537,0.4269,0.5337999999999999,0.4586,0.4709,0.502,0.5531,0.44,0,0,0.5043687476256806,0.4913719338277239,0.458377592665064
